aksara_lontara,aksara_latin
ᨒᨘᨆᨘ,lumu’
ᨆ,ma
ᨆᨅᨌᨕᨙ,mabacaè
ᨆᨅᨌ,mabbaca
ᨆᨅᨊᨘᨕ,mabbanua
ᨆᨅᨛᨉ,mabbedaa’
ᨆᨅᨗᨕᨔ,mabbiasa
ᨆᨅᨗᨌᨑ,mabbicara
ᨆᨌᨊᨗ,maccani
ᨆᨌᨐᨆᨘᨄᨗ,maccayamupi
ᨆᨌᨛᨆᨙ,maccemmè
ᨆᨉᨘᨈ,madduta
ᨆᨉᨙᨌᨙ,madècèng
ᨆᨉᨙᨌᨙᨂᨗ,madècèngi
ᨆᨉᨙᨌᨙᨂᨙ,madècèngngè
ᨆᨉᨛᨊᨘᨕ,madennuang
ᨆᨉᨛᨊᨘᨕᨂᨗ,madennuangngi
ᨆᨉᨗᨕᨚᨒᨚᨕᨙ,madioloè
ᨆᨕᨙᨁ,maèga
ᨆᨕᨙᨁᨕᨙ,maègaè
ᨆᨕᨙᨒᨚ,maèlo
ᨆᨕᨙᨒᨚᨕᨗ,maèlo’i
ᨆᨕᨙᨒᨚᨀᨗ,maèloki
ᨆᨕᨙᨒᨚᨀ,maèlokka
ᨆᨁᨒᨘᨆᨗ,maggalummi
ᨆᨁᨒᨘ,maggalung
ᨆᨁᨚᨒᨚ,maggolo’
ᨆᨁᨘᨑᨘ,magguru
ᨆᨁᨘᨑᨘᨕᨗ,maggurui
ᨆᨁᨗ,magi
ᨆᨍ,maja’
ᨆᨍᨀ,majjakka
ᨆᨍᨆ,majjama
ᨆᨀᨔᨙᨉᨗ,makkasèddi
ᨆᨀᨔᨑ,makassara’
ᨆᨀᨙᨅᨛᨈᨘᨕᨂᨗ,makebèttuangi
ᨆᨀᨛᨔᨗ,makessing
ᨆᨀᨉᨘᨕ,makkadua
ᨆᨀᨕᨛᨊᨛ,makkaenneng
ᨆᨀᨕᨛᨄ,makkaeppa
ᨆᨀᨀᨘᨕᨂᨙ,makkakkuangngè
ᨆᨀᨒᨗᨆᨕᨙ,makkalimaè
ᨆᨀᨄᨗᨈᨘ,makkapitu
ᨆᨀᨈᨛᨒᨘ,makkatellu
ᨆᨀᨈᨛᨊᨗ,makkatenni
ᨆᨀᨛᨉ,makkedda
ᨆᨀᨛᨉᨕᨙ,makkeddaè
ᨆᨀᨛᨉᨕᨗ,makkeddai
ᨆᨀᨛᨉᨈᨚ,makkeddato
ᨆᨀᨛᨔᨗᨂᨙ,makkesingnge
ᨆᨀᨗᨈ,makkita
ᨆᨀᨗᨈᨕᨙ,makkitaè
ᨆᨀᨘᨕᨗᨑᨚ,makkuiro
ᨆᨀᨘᨀᨘᨕᨂᨙ,makkukkuangngè
ᨆᨀᨘᨀᨘᨕᨙ,makkukkuè
ᨆᨀᨘᨋᨕᨗ,makkunrai
ᨆᨀᨘᨋᨕᨗᨊ,makkunrainna
ᨆᨀᨘᨈᨚᨄᨑᨚ,makkutopparo
ᨆᨀᨘᨑ,makurang
ᨆᨒ,mala
ᨆᨒᨕᨗ,malai
ᨆᨒᨍᨘ,malaju
ᨆᨒᨗᨋᨘ,mallinrung
ᨆᨒᨚᨄᨚ,maloppo
ᨆᨒᨚᨄᨚᨕᨙ,maloppoè
ᨆᨆᨘᨕᨑᨙᨕᨗ,mammuarè’i
ᨆᨆᨘᨍ,mammuja
ᨆᨆᨘᨒᨂᨙ,mammulangngè
ᨆᨊᨕᨗ,mana’i
ᨆᨏᨍᨗ,mancaji
ᨆᨊᨛ,maneng
ᨆᨊᨛᨊᨗ,manengni
ᨆᨂᨚᨒᨚ,mangngolo
ᨆᨃᨔ,mangkasa’
ᨆᨃᨔᨕᨙ,mangkasa’è
ᨆᨂᨘᨑᨘᨔᨘ,mangngurusu
