aksara_lontara,aksara_latin
ᨆᨔᨙᨊ,masèna
ᨈᨛᨂ,tengnga
ᨄᨉ,padang
ᨕᨙᨔᨀᨚ,èsakko
ᨀᨙᨒᨚᨕᨙ,kèloè
ᨔᨙᨑᨙᨊ,sèrèna
ᨍᨙᨀᨂᨙ,jèkkangngè
ᨊᨈᨘᨒᨗᨕᨁᨕᨚ,natulianggao
ᨆᨔᨚᨒᨔᨚᨒᨕᨙ,masola-solaè
ᨆᨔᨚᨒᨔᨚᨒ,masola-sola
ᨈᨛᨆᨔᨚᨒᨔᨚᨒ,temmasola-sola
ᨒᨅᨗᨊᨗ,lebbini
ᨒᨗᨆᨕᨙ,limaè
ᨅᨙᨒ,bèla
ᨄᨀᨊ,pakkanna
ᨒᨙᨁᨚᨒᨙᨁᨚᨔᨕᨗ,lènggok-lènggoksai
ᨒᨚᨄᨗ,lopi
ᨈᨇᨘᨀᨘᨕᨙ,tampukuè
ᨊᨕᨚᨒ,naola
ᨊᨒᨙᨈᨙᨕᨗ,nalètèi
ᨔᨗᨈᨛᨂᨈᨛᨂᨕᨙ,sitengnga-tengngaè
ᨒᨀᨒᨚᨒᨚ,lakallolo
ᨆᨘᨕᨚᨋᨚ,muonro
ᨉᨙᨁ,dèkga
ᨆᨘᨕᨗᨔᨛᨂᨗ,muissengi
ᨄᨗᨈᨘ,pitu
ᨉᨑ,dara
ᨆᨅᨍᨘ,mabbaju
ᨕᨙᨍ,èja
ᨈᨍᨛᨀᨚ,tajekko
ᨄᨆᨔᨑᨛ,pammasareng
ᨔᨚᨑᨚᨔᨚᨑᨚᨀᨚ,soro-soroko
ᨊᨕᨗᨉᨗ,naidik
ᨆᨒᨘᨑᨘ,malluru
ᨕᨆᨔᨗ,ammasi
ᨆᨕᨘᨄᨛ,maupe'
ᨔᨗᨀᨗᨑᨛᨂᨗ,sikkirengi
ᨅᨗᨑᨗᨈ,biritta
ᨒᨚᨒᨚ,lolo
ᨕᨍᨑᨛᨈ,ajaretta
ᨕᨛᨊᨛᨂᨙ,ennengngè
ᨕᨗᨉᨗᨁ,idikga
ᨀᨘᨓᨕᨙ,kuwaè
ᨊᨑᨚᨇᨑᨚᨇᨕᨗ,narompa-rompai
ᨕᨇᨘᨒᨍᨛ,ampulajeng
ᨈᨑᨙᨑᨕᨘ,tarèkraung
ᨓᨗᨍᨊᨊᨕᨙᨂᨗ,wijennanaèngngi
ᨈᨚᨒᨙᨅ,tolèba
ᨄᨅᨗᨕᨔᨕᨙ,pabbiasaè
ᨄᨙᨒᨙᨕ,pèlèang
ᨈᨘᨆᨙᨕ,tumèa
ᨕᨙᨍᨕᨙ,èjaè
ᨆᨄᨔᨛ,mappaseng
ᨀᨀ,kakak
ᨑᨚᨊ,ronna
ᨔᨄᨊ,sapana
ᨕᨚᨈᨀᨘ,otakku
ᨈᨛᨆᨀᨇᨘᨒᨍᨛᨂᨙ,temmakkampulajengngè
ᨈᨛᨆᨚᨋᨚᨕ,temmonroang
ᨄᨑᨘᨄᨑᨘ,parupparung
ᨈᨛᨋᨗᨕᨄᨕᨘ,tenriappau
ᨄᨕᨘᨕ,pauang
ᨀᨙᨁᨊᨗ,kègani
ᨑᨇᨑᨇᨕᨙ,rampa-rampaè
ᨆᨅᨗᨈᨙ,mabittè
ᨑᨗᨄᨔ,ripasak
ᨆᨀᨘᨋᨕᨗᨕᨙ,makkunraiè
ᨊᨒᨕᨚᨊ,nalaona
ᨆᨕᨗ,mai
ᨀᨘᨔᨋᨙᨁᨗ,kusanrègi
ᨊᨔᨋᨙᨁ,nasanrègak
ᨒᨗᨓᨛ,liweng
ᨔᨒᨚ,salo
ᨕᨛᨒᨕᨛᨒ,ella-ella
ᨑᨗᨈᨓᨕᨗ,ritawai
ᨔᨗᨄᨉᨗᨕᨚ,sippaddio
ᨕᨔᨗᨆᨛᨒᨛᨑᨛ,assimellereng
ᨔᨗᨒᨛᨅᨕᨗ,silebbai
ᨄᨂᨍ,pangaja
ᨕᨚᨔᨚ,osong
ᨊᨅᨘᨑᨊᨙ,naburane
ᨀᨒᨚᨒᨚ,kallolo
ᨆᨛᨒᨛᨑᨗᨓᨗ,melleriwi
ᨅᨗᨕᨔᨊᨗ,biasani
ᨊᨄᨀᨙ,napakè
ᨄᨒᨛᨈᨘᨀᨛᨂᨗ,palettukengngi
ᨒᨗᨔᨛ,lise'
ᨕᨈᨗᨊ,atinna
ᨊᨄᨚᨕᨉᨕᨉᨈᨚᨊᨗ,napoada-adatonni
ᨔᨗᨕᨑᨙᨕᨑᨙᨕᨙᨉᨙ,siarè'-arè'èdè
ᨆᨙᨒᨚ,mèlong
ᨕᨙᨃᨒᨗᨂᨊᨗ,èngkalingani
ᨊᨕᨙᨒᨚᨂᨛᨀᨗ,naèlongekki
ᨁᨘᨑᨘᨈ,gurutta
ᨆᨆᨘᨒ,mammula
ᨕᨗᨊᨗᨊᨓ,ininnawa
ᨔᨅᨑᨕᨙ,sabbara'è
ᨒᨚᨒᨚᨂᨛ,lolongeng
ᨁᨑᨙ,garè
ᨉᨙᨌᨙ,dècèng
ᨕᨒ,alla
ᨈᨚᨔᨅᨑᨕᨙᨉᨙ,tosabbara'èdè
ᨈᨕᨘᨊ,taunna
ᨔᨅᨑ,sabbara'
ᨀᨘᨒᨚᨒᨚᨂᨛ,kulolongeng
ᨕᨙᨋᨙᨀᨗ,ènrèkki'
ᨈᨛᨍᨒᨗ,tejjali
ᨈᨛᨈᨄᨙᨑᨙ,tettappèrè
ᨅᨊ,banna
ᨆᨔᨙᨆᨔᨙ,masè-masè
ᨕᨗᨉᨗᨊᨁ,idinaga
ᨑᨗᨔᨘᨑᨚ,risuro
ᨆᨈᨑᨊ,mattarana
ᨆᨘᨈᨙᨕ,mutèa
ᨆᨅᨙᨒ,mabèla
ᨆᨅᨙᨒᨄᨗ,mabèlapi
ᨀᨘᨈᨗᨑᨚᨀᨗ,kutiroki'
ᨆᨘᨍᨚᨄ,mujoppa
ᨕᨒᨙᨕᨒᨙ,alè-alè
ᨆᨘᨈᨛᨒᨘ,mutellu
ᨔᨗᨈᨗᨋᨚ,sitinro
ᨆᨙᨆᨙᨂ,mèmengnga
ᨏᨓᨀᨘ,nyawaku
ᨈᨘᨅᨘᨀᨘ,natubuku
ᨄᨔᨙᨂᨛᨑᨛᨂᨙᨉᨙ,passèngerengngèdè
ᨔᨙᨂᨛᨑᨙᨆᨘ,sèngerengmu
ᨕᨉᨈ,adata
ᨔᨗᨒᨄᨕᨙ,silappaè
ᨑᨘᨈᨘᨂᨛ,ruttungnge
ᨆᨊᨛᨂᨗ,manengngi
ᨕᨙᨒᨚᨊ,èlonna
ᨆᨘᨕᨗᨊᨄ,muinappa
ᨆᨘᨕᨙᨒᨚ,muèlong
ᨄᨙᨆᨙᨂᨗ,pèmèngngi
ᨊᨔᨗᨅᨓᨕᨗ,nasibawa'i
ᨆᨁᨛᨒᨚ,magello
ᨊᨆᨄᨌᨛ,namapace'
ᨌᨀᨑᨘᨉᨘ,cakkaruddu'
ᨕᨈᨗᨋᨚᨊᨚ,atinrono
ᨆᨈᨗᨋᨚ,matinro
ᨕᨆᨕᨚ,ammao
ᨊᨔᨒ,nasala
ᨊᨄᨗᨆᨘ,nippimu
ᨊᨗᨄᨗ,nippi
ᨆᨘᨆᨒᨙᨓᨛ,mumalèwe
ᨒᨙᨓᨛᨊᨚ,lèweno
ᨆᨀᨘᨓᨑᨘ,makkawaru
ᨈᨚᨉᨚᨂᨗ,todongi
ᨁᨚ,go
ᨀᨙᨁᨊ,kègana
ᨆᨘᨄᨒᨗᨋᨘ,muppalinrung
ᨈᨚᨆᨔᨒᨙ,tomasallè
ᨒᨚᨒ,lolang
ᨒᨚᨒᨊᨚ,lolanno
ᨆᨘᨔᨒᨙᨕᨂᨗ,musallèangngi
ᨔᨑᨕᨙ,saraè
ᨕᨈᨗᨆᨘ,atimmu
ᨆᨘᨆᨉᨚᨀᨚ,mumadoko
ᨆᨉᨚᨀᨚ,madoko
ᨉᨚᨀᨚᨊᨗ,dokoni
ᨒᨕᨚᨕᨙ,laoè
ᨆᨀᨒᨙ,makkalè
ᨑᨚᨍᨚᨑᨚᨍᨚ,rojong-rojong
ᨈᨚᨑᨗᨓᨙᨒᨕᨗᨆᨘ,toriwèlaimmu
ᨊᨈᨛᨑᨗ,naterri
ᨈᨚᨑᨗᨄᨔᨛ,toripaseng
ᨈᨙᨕ,tèa
ᨆᨙᨈᨛ,mètte'
ᨈᨚᨊ,tona
ᨄᨚᨒᨙᨕᨗ,polèi
ᨄᨔᨛ,paseng
ᨆᨀᨘᨈᨊ,makkutana
ᨄᨙᨀᨚᨁᨊ,pèkkogana
ᨈᨛᨊᨘᨂᨛᨊ,tennungenna
ᨊᨄᨚᨒᨙ,napolè
ᨄᨔᨛᨈ,pasetta'
ᨐᨅᨙ,yabè
ᨒᨒᨙ,lalè
ᨄᨛᨈᨘ,pettu
ᨊᨗᨑᨚ,niro
ᨈᨚᨂᨛᨊᨗ,tongenni
ᨆᨗᨊᨔ,minasa
ᨆᨉᨙᨌᨙᨀᨘ,madècèkku
ᨑᨗᨉᨗ,ridi
ᨒᨛᨎᨛᨊᨗ,lennye'ni
ᨀᨆᨔᨙ,kamasè
ᨒᨛᨎᨛᨈᨚᨊᨗ,lennye'toni
ᨑᨗᨕᨚᨈ,riota
ᨔᨗᨒᨛᨎᨛᨑᨛ,silennyereng
ᨊᨈᨗᨓᨗ,natiwi'
ᨈᨘᨕᨚᨀ,tuoka
ᨒᨗᨊᨚ,lino
ᨈᨘᨕᨚ,tuo
ᨈᨚᨆᨔᨙᨔ,tomasèssa
ᨉᨙᨌᨙᨀᨘ,dècèkku
ᨈᨛᨆᨘᨔᨙᨂᨛ,temmusèngek
ᨅᨙᨊᨙ,bènnèng
ᨓᨗᨔᨛ,wisseng
ᨆᨙᨆᨙᨊᨗ,mèmènni
ᨆᨙᨒᨚᨆᨚ,mèlomo
ᨄᨔᨒᨕᨗ,pasalai
ᨈᨛᨀᨘ,tekku
ᨆᨛᨈᨚᨊᨗ,mettonni
ᨕᨔᨗᨆᨙᨒᨛᨑᨛᨈ,assimellèrengta
ᨆᨊᨗ,mani
ᨄᨘᨕ,puang
ᨕᨘᨕᨚᨋᨚᨕᨗ,uonroi
ᨆᨉᨛᨊᨘᨕ,maddennuang
ᨄᨛᨈᨘᨊᨗ,pettuni
ᨆᨗᨊᨔᨕᨙ,minasaè
ᨑᨗᨈᨗᨀᨛᨂᨗ,ritikkengngi
ᨄᨚᨒᨗᨔᨗ,polisi
ᨈᨛᨆᨄᨕᨘ,temmappau
ᨄᨑᨁᨛᨑ,paragera'
ᨆᨀᨙᨅᨘ,makkèbbu'
ᨆᨕᨙᨒᨚᨊᨗ,maèlo'ni
ᨆᨗᨈᨕᨗ,mitai
ᨅᨔᨚ,baso
ᨑᨗᨒᨚᨒᨚᨂᨛᨂᨗ,rilolongengngi
ᨆᨚᨈᨚᨑᨚᨊ,motoro'na
ᨆᨚᨈᨚᨑᨚᨆᨗ,motoro'mi
ᨆᨔᨚᨅᨘ,massobbu
ᨔᨚᨅᨘ,sobbu
ᨆᨔᨚᨅᨘᨔᨚᨅᨘ,massobbu-sobbu
ᨈᨛᨇᨛᨉᨗᨄᨗ,tempeddippi
ᨊᨄᨗᨋ,napinra
ᨔᨗᨄᨊ,sipa'na
ᨆᨀᨔᨙᨑ,makkasèra
ᨌᨑ,cara
ᨄᨄᨀᨈᨍ,pappakatajang
ᨀᨍᨍᨗᨕ,kajajiang
ᨓᨊᨘᨕ,wanua
ᨀᨑᨙᨅᨕᨙ,karèbaè
ᨊᨄᨒᨛᨈᨘᨀᨛ,napalettukeng
ᨒᨒᨛᨊ,lalenna
ᨈᨒᨄᨗᨔᨗ,talapisi
ᨑᨉᨗᨕᨚᨕᨙ,radioè
ᨑᨗᨅᨌ,ribaca
ᨉᨕᨙᨑ,daèra
ᨓᨛᨉᨗᨊᨗ,weddinni
ᨕᨗᨅᨌ,ibaca
ᨕᨗᨑᨗᨈ,irita
ᨆᨙᨉᨗᨕ,mèdia
ᨔᨚᨔᨗᨕᨒᨛ,soiale'
ᨊᨄᨒᨚᨆᨚᨕᨗᨀᨗ,napalomoiki'
ᨆᨁᨈᨗᨀᨗ,magattikki'
ᨆᨗᨔᨛᨂᨗ,missengngi
ᨒᨚᨄᨚ,loppo
ᨌᨑᨈ,carata
ᨒᨒᨚᨆᨗ,lalomi
ᨕᨗᨈᨂ,itanga'
ᨄᨉᨈᨚ,padato
ᨒᨕᨚᨊ,laona
ᨕᨗᨄᨊᨛᨔᨕᨗ,ipannessai
ᨄᨔᨗᨕᨈᨕᨗ,pasiattai
ᨈᨘᨑᨘᨑᨘᨄᨕᨙ,tururupaè
ᨕᨗᨅᨌᨕᨙ,ibacaè
ᨈᨆᨕᨙᨁ,tamaèga
ᨀᨙᨉᨚ,kèdo
ᨆᨄᨊᨛᨔ,mappannessa
ᨕᨗᨄᨒᨛᨈᨘᨕᨙ,ipalettu'è
ᨅᨑ,bara'
ᨆᨈᨍᨂᨗ,matajangngi
ᨈᨕᨗᨈᨕᨗ,taitai
ᨄᨗᨉᨗᨕᨚ,pidio
ᨈᨕᨗᨔᨛᨊᨗ,taissengni
ᨈᨕᨗᨈᨊᨗ,taitani
ᨄᨗᨉᨗᨕᨚᨊ,pidiona
ᨆᨉᨙᨌᨙᨊᨗ,madècènni
ᨕᨗᨕᨁᨘᨑᨘᨕᨗᨊᨗ,iagguruini
ᨄᨑᨈᨙᨀᨊᨗ,parattèkanni
ᨕᨚᨈᨚ,oto
ᨈᨛᨑᨙ,terè'
ᨄᨒᨘᨑᨛ,pallureng
ᨕᨔᨙ,asè
ᨈᨅᨒᨙ,tabbalè'
ᨈᨘᨄᨘᨂᨙ,tuppungngè
ᨊᨚᨆᨚᨑᨚ,nomoro'
ᨄᨚᨒᨗᨔᨗᨊ,polisina
ᨉᨙᨄᨙ,dèpè
ᨕᨑᨘᨓ,aruwa
ᨕᨛᨊᨛ,enneng
ᨕᨅᨘ,abu
ᨅᨀᨑᨛ,bakare'
ᨒᨅᨚᨁᨚ,lambogo
ᨀᨛᨒᨘᨑᨖ,kelurahang
ᨅᨘᨀᨗ,buki'
ᨕᨗᨉ,indah
ᨀᨛᨌᨆᨈ,kecamatang
ᨔᨚᨑᨙᨕ,sorèang
ᨄᨑᨙᨄᨑᨙ,parè-parè
ᨕᨛᨔᨚᨊ,essona
ᨔᨈᨘᨕᨙ,sattuè
ᨈᨁᨒᨛ,tanggale'
ᨄᨘᨒᨚ,pulo
ᨕᨘᨒᨛ,uleng
ᨕᨚᨀᨛᨈᨚᨅᨛᨑᨛ,oketobere'
ᨔᨛᨅᨘ,sebbu
ᨔᨛᨄᨘᨒᨚ,seppulo
ᨕᨔᨙᨓᨙᨑᨗᨈᨘ,asèwèritu
ᨔᨚᨑᨚᨕᨗ,soro'i
ᨔᨗᨕᨁ,siaga
ᨆᨙᨈᨙᨑᨙ,mètèrè'
ᨓᨛᨈᨘ,wettu
ᨉᨙᨊᨄ,dè'napa
ᨊᨈᨅᨒᨙ,natabbalè'
ᨊᨁᨛᨄᨈᨚᨕᨗ,nageppatoi
ᨕᨒᨗᨑᨗ,alliri
ᨒᨇᨘᨕᨙ,lampuè
ᨄᨆᨚᨈᨚᨑᨚ,pammotoro'
ᨆᨘᨋᨗᨊ,munrinna
ᨊᨁᨛᨄᨕᨗ,nageppai
ᨅᨒᨙᨔᨙ,balèssè
ᨊᨑᨗᨈᨗᨓᨗ,naritiwi'
ᨆᨁᨗᨈᨗ,magatti'
ᨉᨚᨀᨚᨕᨙ,dokoè
ᨊᨑᨗᨄᨗᨈᨛᨊᨕᨗ,naripitennai
ᨈᨛᨑᨙᨕᨙ,terè'è
ᨊᨔᨅᨑᨗᨕᨗ,nassabari
ᨒᨉᨛᨕᨗ,ladde'i
ᨒᨘᨑᨛᨊ,lurenna
ᨈᨒᨗᨓ,talliwa'
ᨅᨓᨂᨛᨊ,bawangenna
ᨕᨅᨗᨊᨔᨂᨙ,abinasangngè
ᨒᨒᨛᨂᨙ,lalengngè
ᨆᨔᨘᨇᨛᨕᨗ,massumpe'i
ᨕᨚᨒ,olo
ᨁᨅ,gaba
ᨈᨈᨒᨛ,tattale'
ᨒᨙᨄ,lèppang
ᨀᨗᨈ,kita
ᨊᨍᨛᨄᨘᨕᨗ,najeppui
ᨓᨑᨙᨀᨉ,warèkkada
ᨄᨂᨍᨕᨙ,pangajaè
ᨊᨅᨌᨈᨚᨕᨗ,nabacatoi
ᨄᨄᨂᨍᨕᨙ,pappangajaè
ᨑᨗᨄᨑᨛᨊᨘᨓᨂᨗᨊᨗ,riparennuwangini
ᨕᨃᨛᨕᨃᨛ,angke'-angke'
ᨈᨍᨊ,tanja'na
ᨊᨅᨌᨕᨗ,nabacai
ᨈᨛᨄᨍᨕᨗ,teppajai
ᨑᨗᨕᨄᨑᨛᨒᨘᨕ,riapparelluang
ᨕᨀᨈᨘᨓᨚᨂᨙ,akkatuwongè
ᨈᨗᨓᨗᨀᨗ,tiwiki
ᨑᨗᨉᨙᨌᨙᨂᨙ,ridècèngè
ᨊᨑᨇᨙ,narampè
ᨕᨀᨚᨑ,akorang
ᨆᨒᨛᨅᨗᨕᨙ,malebbiè
ᨖᨉᨙᨔᨛᨕᨙ,haddèse'è
ᨆᨊᨛᨔ,mannessa
ᨕᨄᨚ,appong
ᨕᨉᨕᨉᨕᨙ,ada-adaè
ᨑᨗᨕᨄᨈᨗᨑᨚᨕᨊᨗ,riappatiroanni
ᨑᨗᨄᨂᨍ,ripangngaja'
ᨕᨔᨛᨒᨛᨂᨛᨂᨙ,asellengengè
19,19
ᨊᨚ,no'
ᨄᨙᨉᨙ,pèdè'
ᨈᨘᨉᨂᨛᨊ,tudangenna
ᨉᨛᨑᨍᨊ,deraja'na
ᨆᨇᨛᨑᨘᨕᨗ,mamperui
ᨕᨔᨒᨆᨀᨛᨂᨙ,asalamakengè
ᨉᨙ,dè'
ᨊᨗᨑᨘᨒᨙ,nirullè
ᨈᨔᨙᨑᨙᨕᨗ,tasèrèi
ᨕᨔᨙᨔᨂᨛ,asèssangeng
ᨎᨆᨛ,nyameng
ᨕᨈᨘᨓᨚᨈ,atuwotta
ᨑᨗᨒᨒᨚᨕᨗ,rilalloi
ᨆᨀᨘᨊᨗᨑᨚ,makkuniro
ᨈᨙᨕᨀᨗ,tèaki
ᨈᨛᨈᨛᨊᨗ,tette'ni
ᨑᨗᨕᨚᨒ,rioloi
ᨄᨔᨛᨊ,pasenna
ᨊᨙᨊᨙ,nènè'
ᨆᨒᨚᨆᨚ,mallomo
ᨑᨗᨔᨗᨉᨙᨋᨙ,ri sidenreng
ᨆᨄᨔᨛᨂᨗ,mappasengngi
ᨑᨗᨕᨑᨘ,ri arung
ᨆᨃᨕᨘᨕᨙ,mangkau'è
ᨑᨗᨄᨅᨗᨌᨑᨕᨙ,ripabbicaraè
ᨀᨘᨓᨕᨙᨈᨚᨄ,kuwaètoppa
ᨑᨗᨔᨘᨑᨚᨕᨙ,risuroè
ᨕᨚ,o
ᨆᨃᨕᨘ,mangkau
ᨆᨔᨘᨑᨚᨀ,massuroka
ᨑᨗᨕᨈᨆᨘ,riatammu
ᨆᨘᨄᨔᨗᨒᨚᨓᨂᨗ,mupasilowangngi
ᨔᨕᨗ,sai
ᨕᨗᨊᨗᨊᨓ,ininnawa
ᨆᨈᨙᨕᨑᨗᨈᨘ,matèaritu
ᨕᨈᨕᨙ,ataè
ᨆᨄᨂᨍᨀᨚ,mappangajako
ᨑᨗᨕᨈᨆᨘ,riatammu
ᨑᨗᨔᨙᨕᨍᨗᨆᨘ,risèajimmu
ᨕᨗᨐᨈᨚ,iyato
ᨆᨘᨄᨚᨁᨕᨘ,mupogau'
ᨕᨍᨈᨚ,aja'to
ᨕᨗᨊᨗᨊᨓᨕᨙ,ininnawaè
ᨄᨉᨛᨄ,paddeppa
ᨓᨊᨘᨓ,wanuwa
ᨆᨀᨛᨉᨈᨚᨕᨗ,makkedatoi
ᨀᨘᨄᨔᨛ,kupaseng
ᨄᨅᨗᨌᨑᨕᨙ,pabbicaraè
ᨔᨘᨑᨚᨓᨙ,surowè
ᨆᨘᨌᨄᨕᨗ,mucapa'i
ᨒᨛᨇᨘᨕᨙ,lempu'è
ᨕᨒᨛᨇᨘᨀᨚ,alempu'ko
ᨆᨘᨆᨉᨙᨌᨙ,mumadècèng
ᨆᨘᨆᨁᨛᨈᨛ,mumagetteng
ᨕᨄ,apa'
ᨆᨒᨛᨇᨘ,malempu
ᨅᨗᨌᨑᨕᨙ,bicaraè
ᨒᨇᨙᨑᨗ,lampèri
ᨔᨘᨂᨛ,sunge'
ᨈᨛᨆᨈᨙ,temmatè
ᨈᨋᨆᨘᨅ,tanramuba
ᨌᨙᨀᨚᨕᨙ,cèkoè
ᨈᨛᨅᨀᨙ,tebbakè
ᨈᨚᨂᨛᨂᨙ,tongengngè
ᨈᨛᨆᨑᨘᨈᨘ,temmaruttung
ᨒᨄᨕᨙ,lappaè
ᨈᨛᨄᨛᨈᨘ,teppettu
ᨆᨕᨚᨇᨙᨂᨙ,maompèngngè
ᨈᨛᨄᨚᨒᨚ,teppolo
ᨆᨔᨛᨒᨚᨆᨚᨕᨙ,masselomoè
ᨆᨀᨛᨉᨈᨚᨄᨗ,makkedatoppa
ᨈᨛᨆᨒᨘᨄᨕᨗᨐᨙᨂᨗ,temmalupaiyèngngi
ᨈᨛᨄᨘᨑᨊ,teppurana
ᨔᨓᨙ,sawè
ᨑᨗᨒᨒᨛᨇᨊᨘᨓ,rilalempanuwa
ᨄᨂᨉᨛᨑᨛ,pangadereng
ᨕᨒᨛᨇᨘᨑᨛ,alempureng
ᨕᨒᨛᨇᨘᨑᨛᨂᨙ,alempurengè
ᨑᨗᨐᨃᨛᨕᨗ,riyangke'i
ᨉᨙᨁᨁ,degaga
ᨄᨁᨃᨊ,pa'gangkanna
ᨕᨇᨙ,ampè
ᨑᨗᨕᨒᨛᨇᨘᨑᨛᨂᨙ,rialempurengè
ᨕᨈᨚᨂᨛᨂᨙ,atongengngè
ᨊᨆᨕᨘᨈᨚᨊᨗ,namau'toni
ᨈᨚᨂᨛᨂᨗ,tongengngi
ᨈᨚᨂᨛ,tongeng
ᨆᨕᨘᨈᨚᨊᨗ,mau'toni
ᨈᨛᨆᨀ,temmaka
ᨑᨗᨔᨚᨅᨘ,risobbu
ᨆᨚᨇᨚ,mompo'
ᨄᨂᨍᨊ,pangajana
ᨅᨚᨈᨗᨇᨑᨘᨕᨙ,bottingmparuè
ᨕᨔᨗᨓᨚᨒᨚᨇᨚᨒᨚᨂᨙ,assiwolompolongngè
ᨕᨀᨒᨗᨅᨗᨊᨙᨂᨛᨂᨙ,akkalibinèngengngè
ᨔᨗᨈᨗᨊᨍᨀᨗ,sitinajaki
ᨔᨗᨄᨒᨙᨌᨙ,sipalèccè
ᨔᨗᨌᨄᨘ,sicapu
ᨔᨗᨌᨇ,sicampa
ᨄᨑᨗᨕ,paria
ᨊᨊᨔᨘ,nanasu
ᨆᨊᨔᨘᨕᨗ,manasui
ᨑᨗᨕᨚᨑᨗᨊ,riorinna
ᨌᨊᨗᨕᨗ,cani'i
ᨑᨗᨆᨛᨒᨛᨑᨗ,rimelleri
ᨊᨈᨊᨛ,nataneng
ᨆᨀᨒᨘ,makkalu
ᨑᨗᨌᨛᨇᨕᨙ,ricempaè
ᨔᨗᨉᨘᨄ,siduppa
ᨆᨈᨊ,matana
ᨌᨅᨙᨑᨘᨊ,ca'bèruna
ᨊᨄᨚᨅᨘᨕ,napobua
ᨔᨗᨈᨑᨚ,sitaro
ᨔᨙᨂᨛᨑᨛᨁᨙ,sèngerengngè
ᨔᨗᨔᨙᨂᨛ,sisèngè
ᨑᨗᨆᨘᨒ,rimula
ᨓᨛᨊᨗ,wenni
ᨔᨙᨂᨛᨈᨚᨊ,sènge'tona
ᨑᨗᨁᨗᨒᨗ,rigiling
ᨈᨗᨋᨚᨊ,tinrona
ᨁᨗᨒᨗ,giling
ᨈᨗᨋᨚ,tinro
ᨑᨗᨒᨙᨒᨙᨕ,rilèlèang
ᨉᨛᨊᨗᨕᨑᨗ,denniari
ᨑᨗᨉᨘᨄ,riduppa
ᨉᨘᨄ,duppa
ᨕᨈᨗ,ati
ᨆᨑᨛ,marè'
ᨆᨀᨋᨙ,makkanrè
ᨔᨇᨑᨍ,samparaja
ᨔᨛᨄᨗᨊᨗ,seppini
ᨊᨒᨑ,nalara'
ᨊᨒᨑᨔᨗ,nalara'si
ᨑᨗᨄᨗᨍᨛᨔᨗ,ripije'si
ᨁᨅᨙᨑᨙ,gambèrè'
ᨈᨚᨍᨘᨄᨉ,tojuppandang
ᨊᨅᨒᨗ,naboli
ᨆᨀᨘᨒᨗ,makkuli
ᨆᨒᨚᨒᨚᨕᨙ,maloloè
ᨆᨛᨒᨛ,melle'
ᨆᨊᨛᨊᨘᨂᨛ,mannennungeng
ᨔᨗᨑᨇᨙ,sirampè
ᨅᨈᨘ,batu
ᨀᨒᨘᨀᨘ,kaluku
ᨈᨙᨅᨑᨕᨗ,tèbara'i
ᨄᨙᨉᨙᨕᨗ,pèdè'i
ᨆᨈᨚᨕ,matoa
ᨆᨔᨈ,masantang
ᨕᨀᨒᨙᨅᨑᨀᨛ,akkalèbarakeng
ᨕᨀᨒᨙᨑᨘᨉᨘᨀᨛ,akkalèruddukeng
ᨌᨛᨊᨗᨂᨙ,cenningngè
ᨆᨘᨒᨕᨗ,mulai
ᨊᨆᨌᨛᨊᨗ,namacenning
ᨆᨅᨛᨊᨗᨓᨗ,mabbenniwi
ᨊ,na
ᨆᨀᨛᨌᨗ,makecci
ᨆᨚᨋᨚᨕᨗ,monroi
ᨆᨔᨗᨉᨘ,masidu
ᨀᨒᨚᨒᨚᨕᨙ,kaloloè
ᨀᨘᨈᨘᨕᨙ,kuttuè
ᨔᨗᨈᨗᨊᨍᨕᨗ,sitinajai
ᨈᨛᨆᨄᨀᨙᨁᨘᨊ,temmappakkèguna
ᨀᨘᨈᨘ,kuttu
ᨈᨛᨄᨕᨘᨊᨚ,teppauno
ᨈᨛᨆᨄᨅᨗᨊᨔ,temmappabinasa
ᨄᨔᨘᨔᨕᨗ,pasussai
ᨊᨄᨔᨙᨔ,napasèssa
ᨆᨄᨋᨔᨑᨔ,mappanrasa-rasa
ᨔᨀᨛᨔᨀᨛ,sakkek-sakkek
ᨊᨄᨔᨛᨂᨗᨕᨙ,napasengiè
ᨆᨀᨔᨛᨄᨘᨒᨚᨔᨙᨉᨗ,makkaseppulosèddi
ᨕᨈᨘᨕᨚ,atuong
ᨄᨀᨊᨊ,pakkannana
ᨊᨄᨙᨍᨛᨄᨘᨕᨗ,napèjeppui
ᨔᨗᨄᨔᨗᨄᨊ,sipa'-sipana
ᨕᨈᨘᨕᨚᨂᨛᨊ,atuongenna
ᨑᨇᨙᨑᨇᨙ,rampè-rampè
ᨑᨗᨆᨛᨒᨛᨑᨗᨕᨙ,rimelleriè
ᨑᨗᨄᨘᨑᨊ,ripurana
ᨊᨑᨗᨄᨖ,naripahang
ᨕᨉᨗ,andi
ᨆᨄᨎᨘᨀᨗ,mappanyuki
ᨄᨙᨀᨚᨁᨕᨗ,pèkkogai
ᨄᨚᨕᨉᨕᨉᨕᨗ,poada-adai
ᨄᨀᨊᨕᨙ,pakkannaè
ᨔᨗᨄ,sipa'
ᨊᨆᨛᨒᨛᨑᨗᨕᨙ,namelleriè
ᨑᨗᨕᨒᨙᨊ,rialèna
ᨆᨀᨙᨕᨉᨛᨕᨙ,makkèade'è
